name,name:ka,name:en,name:ru
1-ლი ქუჩა,1-ლი ქუჩა,1st Street,1-я улица
17 შინდისელი გმირის ქუჩა,17 შინდისელი გმირის ქუჩა,17 Shindiseli Gmiri Street,улица 17 Шиндисели Гмири
17 შინდისელი გმირის ჩიხი,17 შინდისელი გმირის ჩიხი,17 Shindiseli Gmiri Dead End,тупик 17 Шиндисели Гмири
21-ე ქუჩა,21-ე ქუჩა,21st Street,21-я улица
22-ე ქუჩა,22-ე ქუჩა,22nd Street,22-я улица
23-ე ქუჩა,23-ე ქუჩა,23rd Street,23-я улица
24-ე ქუჩა,24-ე ქუჩა,24th Street,24-я улица
25-ე ქუჩა,25-ე ქუჩა,25th Street,25-я улица
26-ე ქუჩა,26-ე ქუჩა,26th Street,26-я улица
26 მაისის I შესახვევი,26 მაისის I შესახვევი,26th of May 1st Lane,1-й переулок 26 Мая
26 მაისის I ჩიხი,26 მაისის I ჩიხი,26th of May 1st Dead End,1-й тупик 26 Мая
26 მაისის II ჩიხი,26 მაისის II ჩიხი,26th of May 2nd Dead End,2-й тупик 26 Мая
26 მაისის III ჩიხი,26 მაისის III ჩიხი,26th of May 3rd Dead End,3-й тупик 26 Мая
26 მაისის IV ჩიხი,26 მაისის IV ჩიხი,26th of May 4th Dead End,4-й тупик 26 Мая
26 მაისის IX ჩიხი,26 მაისის IX ჩიხი,26th of May 9th Dead End,9-й тупик 26 Мая
26 მაისის V ჩიხი,26 მაისის V ჩიხი,26th of May 5th Dead End,5-й тупик 26 Мая
26 მაისის VI ჩიხი,26 მაისის VI ჩიხი,26th of May 6th Dead End,6-й тупик 26 Мая
26 მაისის VII ჩიხი,26 მაისის VII ჩიხი,26th of May 7th Dead End,7-й тупик 26 Мая
26 მაისის VIII ჩიხი,26 მაისის VIII ჩიხი,26th of May 8th Dead End,8-й тупик 26 Мая
26 მაისის მოედანი,26 მაისისი მოედანი,26th of May Square,площадь 26 Мая
26 მაისის სანაპირო,26 მაისისი სანაპირო,26th of May Embankment,набережная 26 Мая
26 მაისის ქუჩა,26 მაისის ქუჩა,26th of May Street,улица 26 Мая
27-ე ქუჩა,27-ე ქუჩა,27th Street,27-я улица
28-ე ქუჩა,28-ე ქუჩა,28th Street,28-я улица
29-ე ქუჩა,29-ე ქუჩა,29th Street,29-я улица
30-ე ქუჩა,30-ე ქუჩა,30th Street,30-я улица
